wave,Id,Owns Property,Weekly Gross Income,FY disposable income +,FY disposable income -
18,181071,1,1129,49746,0
6,37771,1,1050,40874,0
10,35281,1,1442,55164,0
14,180451,1,1645,63798,0
18,181071,1,1877,77118,0
6,1621,0,691,21933,0
10,55421,1,793,41172,0
14,143091,1,881,47081,0
18,158361,1,1292,52988,0
6,14391,1,445,16478,0
10,19341,1,350,19446,0
14,183081,1,0,32589,0
18,175971,1,0,15758,0
6,23851,0,600,13260,0
10,15021,0,1000,43160,0
14,206431,0,1278,47277,0
18,173081,0,970,48864,0
6,5911,1,600,28479,0
10,6711,1,726,34822,0
14,114091,1,798,38570,0
18,113641,1,799,40006,0
6,5921,1,708,16478,0
10,6651,1,800,27591,0
14,114031,1,850,47866,0
18,113601,1,1800,65543,0
6,16041,0,0,22818,0
10,17481,0,285,42179,0
14,123671,1,672,29348,0
18,123051,0,0,33744,0
6,43491,1,1282,53055,0
10,43841,1,1430,66096,0
14,191371,1,1724,68251,0
18,191401,1,1813,101502,0
6,43491,1,750,34415,0
10,43841,1,625,33855,0
14,191371,1,625,27257,0
18,191401,1,664,30719,0
6,60951,1,0,16437,0
10,61961,1,0,50608,0
14,149021,1,0,32000,0
18,148541,1,0,35880,0
6,11411,1,0,26746,0
10,12301,1,0,26249,0
14,119011,1,0,27452,0
18,118401,1,0,20100,0
6,13441,1,3452,83556,0
10,23771,1,3682,149168,0
14,129371,1,5400,184694,0
18,128611,1,5000,180391,0
6,13441,1,0,30163,0
10,23771,1,391,20446,0
14,129371,1,145,6600,0
18,128611,1,477,35529,0
6,14131,1,650,15559,0
10,25561,1,1100,33855,0
14,220271,1,782,35244,0
18,220301,1,0,33485,0
6,39811,1,480,16223,0
10,37461,1,110,106215,0
14,182311,1,520,27757,0
18,171771,1,0,13360,0
6,39821,0,1187,42342,0
10,37831,1,1350,60888,0
14,182731,1,1600,86422,0
18,183491,1,0,79708,0
6,21901,0,600,15058,0
10,901,1,479,35095,0
14,100791,1,825,24949,0
18,100701,1,1350,56109,0
6,72761,1,403,21654,0
10,75501,1,562,46283,0
14,207441,1,115,22700,0
18,207021,1,543,24504,0
6,72761,1,403,19434,0
10,75501,1,115,29387,0
14,207441,1,115,23400,0
18,207021,1,543,18920,0
6,66741,1,505,21639,0
10,68581,1,40,21450,0
14,154891,1,529,20436,0
18,154361,1,0,17394,0
6,34341,1,770,32543,0
10,31711,1,845,44515,0
14,177491,1,822,38582,0
18,177691,1,1200,44247,0
6,34341,1,681,34279,0
10,31711,1,815,42527,0
14,172641,1,1058,49866,0
18,172861,1,1092,61591,0
6,60601,1,1300,50323,0
10,61651,1,1600,59450,0
14,148681,1,1449,78868,0
18,148161,1,1538,97106,0
6,60601,0,750,32190,0
10,61651,0,609,33279,0
14,148681,1,1150,39461,0
18,148162,1,0,30926,0
6,18491,0,0,18821,0
10,16241,0,756,12000,0
14,122381,0,0,15080,0
18,121911,0,0,6760,0
6,15011,0,0,13907,0
10,16161,0,0,35368,0
14,122341,0,0,27820,0
18,121871,0,0,24942,0
6,30621,0,150,28861,0
10,27301,0,1921,75322,0
14,173511,1,0,109453,0
18,173561,1,2244,98215,0
6,16551,1,0,14597,0
10,18371,1,0,17391,0
14,124441,1,0,23281,0
18,123861,1,0,24970,0
6,11951,1,550,29505,0
10,13071,1,0,10772,0
14,119771,1,0,16208,0
18,119221,1,0,20380,0
6,12831,1,793,17121,0
10,13361,1,1093,47456,0
14,120001,1,307,21106,0
18,119491,1,0,8155,0
6,62671,1,767,63161,0
10,63851,1,905,36155,0
14,150801,1,1167,51842,0
18,150151,1,1500,62766,0
6,62671,1,767,58881,0
10,63851,1,671,33868,0
14,150801,1,1252,41388,0
18,150151,1,1272,43745,0
6,23831,1,425,30868,0
10,14071,1,0,38076,0
14,120591,1,1000,53739,0
18,120041,1,900,46893,0
6,23831,0,0,10400,0
10,14072,0,1150,47156,0
14,120601,0,1100,56132,0
18,120051,0,1300,58870,0
6,39791,0,930,43622,0
10,37821,0,260,57963,0
14,182711,0,0,41909,0
18,183361,0,0,30247,0
6,67831,0,315,10400,0
10,69641,0,0,24400,0
14,155881,0,0,31080,0
18,155381,0,0,17680,0
6,60611,1,0,21541,0
10,61661,1,690,17271,0
14,148691,1,783,61878,0
18,148171,1,79,57485,0
6,60611,1,0,16474,0
10,61661,1,740,38559,0
14,148691,1,0,5901,0
18,148171,1,0,0,0
6,60611,0,1230,40768,0
10,61661,0,1038,51821,0
14,148531,1,865,39244,0
18,148031,1,1800,72075,0
6,48361,1,0,10790,0
10,49181,1,0,19680,0
14,197121,1,0,19568,0
18,197361,1,0,17713,0
6,24931,0,0,31673,0
10,32081,0,906,69539,0
